================================================================================
        ANOMALY DETECTION TEST REPORT — 2025
================================================================================
  Table : new_claim_catalog.bronze.raw_ics_867_csl
  Method: 1st / 99th Percentile (full-year fixed bounds)
  Year  : 2025 only

--------------------------------------------------------------------------------
  MONTHLY TRENDS (full-year P1/P99 bounds)
--------------------------------------------------------------------------------
  Month            Sales Volume   Lower Bound (P1)   Upper Bound (P99)   Outlier
  ----------------------------------------------------------------------------
  2025-01                 85.00              60.54              157.82         N
  2025-02                 60.00              60.54              157.82         Y
  2025-03                 66.00              60.54              157.82         N
  2025-04                 74.00              60.54              157.82         N
  2025-05                 99.00              60.54              157.82         N
  2025-06                 74.00              60.54              157.82         N
  2025-07                114.00              60.54              157.82         N
  2025-08                156.00              60.54              157.82         N
  2025-09                158.00              60.54              157.82         Y
  2025-10                 91.00              60.54              157.82         N
  ----------------------------------------------------------------------------

--------------------------------------------------------------------------------
  WEEKLY TRENDS (full-year P1/P99 bounds)
--------------------------------------------------------------------------------
  Week Starting      Sales Volume   Lower Bound (P1)   Upper Bound (P99)   Outlier
  ----------------------------------------------------------------------------
  2024-12-30                28.00               6.00               52.00         N
  2025-01-06                15.00               6.00               52.00         N
  2025-01-13                 6.00               6.00               52.00         N
  2025-01-20                22.00               6.00               52.00         N
  2025-01-27                15.00               6.00               52.00         N
  2025-02-03                16.00               6.00               52.00         N
  2025-02-10                 6.00               6.00               52.00         N
  2025-02-17                27.00               6.00               52.00         N
  2025-02-24                12.00               6.00               52.00         N
  2025-03-03                22.00               6.00               52.00         N
  2025-03-10                13.00               6.00               52.00         N
  2025-03-17                19.00               6.00               52.00         N
  2025-03-24                10.00               6.00               52.00         N
  2025-03-31                14.00               6.00               52.00         N
  2025-04-07                15.00               6.00               52.00         N
  2025-04-14                18.00               6.00               52.00         N
  2025-04-21                21.00               6.00               52.00         N
  2025-04-28                22.00               6.00               52.00         N
  2025-05-05                24.00               6.00               52.00         N
  2025-05-12                23.00               6.00               52.00         N
  2025-05-19                18.00               6.00               52.00         N
  2025-05-26                18.00               6.00               52.00         N
  2025-06-02                21.00               6.00               52.00         N
  2025-06-09                12.00               6.00               52.00         N
